<<<<<<< Updated upstream
id,submission_time,view_number,vote_number,title,message,image
1,1493368154,92,3,How to make lists in Python?,"I am totally new to this, any hints?",
3,1493015432,1373,57,Drawing canvas with an image picked with Cordova Camera Plugin,"I'm getting an image from device and drawing a canvas with filters using Pixi JS. It works all well using computer to get an image. But when I'm on IOS, it throws errors such as cross origin issue, or that I'm trying to use an unknown format.

This is the code I'm using to draw the image (that works on web/desktop but not cordova built ios app)",
4,1619083961,2,0,45rhyr5,erhgreg,
=======
id,submission_time,view_number,vote_number,title,message,image
1,1493368154,92,3,How to make lists in Python?,"I am totally new to this, any hints?",
3,1493015432,1373,57,Drawing canvas with an image picked with Cordova Camera Plugin,"I'm getting an image from device and drawing a canvas with filters using Pixi JS. It works all well using computer to get an image. But when I'm on IOS, it throws errors such as cross origin issue, or that I'm trying to use an unknown format.

This is the code I'm using to draw the image (that works on web/desktop but not cordova built ios app)",
4,1619083961,2,0,45rhyr5,erhgreg,
>>>>>>> Stashed changes
